,Open,High,Low,Close,Volume,8_EMA,200_SMA
2000-11-14,92.94,94.63,91.88,94.63,2672200,93.37874230119407,87.77224999999999
2000-11-15,94.25,95.0,93.75,95.0,2092800,93.73902178981761,87.82099999999998
2000-11-16,95.0,95.06,93.38,94.19,1796200,93.83923916985815,87.87540000000001
2000-11-17,94.69,95.25,94.25,95.13,2645900,94.12607490988967,87.94040000000001
2000-11-20,95.13,96.94,95.13,96.19,2754000,94.58472492991419,88.01415000000001
2000-11-21,96.5,97.88,95.75,97.75,3617000,95.28811938993326,88.0926
2000-11-22,96.0,97.25,95.5,96.5,2747300,95.55742619217031,88.1751
2000-11-24,96.5,96.5,94.0,95.06,1498900,95.44688703835469,88.2604
2000-11-27,95.38,97.5,94.31,97.38,2738700,95.87646769649808,88.3601
2000-11-28,97.94,100.1,97.5,100.1,5592600,96.81503043060962,88.47245000000001
2000-11-29,99.63,100.8,99.63,100.3,3774600,97.58946811269638,88.5755
2000-11-30,100.3,103.0,99.75,100.0,7464000,98.12514186543052,88.67645
2000-12-01,99.25,100.0,96.69,97.75,5212300,98.04177700644595,88.76925000000001
2000-12-04,95.88,100.0,95.88,99.56,3031200,98.37915989390241,88.87984999999999
2000-12-05,99.75,99.75,97.75,99.5,3130800,98.6282354730352,88.98419999999999
2000-12-06,97.75,98.75,95.56,96.13,4185900,98.07307203458294,89.0842
2000-12-07,97.5,98.0,96.19,97.06,2498200,97.84794491578673,89.20075000000001
2000-12-08,95.63,97.19,95.63,96.38,3186900,97.52173493450078,89.32265000000001
2000-12-11,96.0,97.0,95.25,95.63,2916800,97.10134939350061,89.43705
2000-12-12,95.56,98.0,95.5,97.0,3262500,97.07882730605603,89.56205
2000-12-13,98.0,99.63,97.63,98.69,3767800,97.43686568248802,89.68860000000001
2000-12-14,98.75,99.44,97.69,99.25,3500600,97.8397844197129,89.81640000000002
2000-12-15,99.25,100.0,98.56,98.56,5795800,97.99983232644337,89.9417
2000-12-18,98.56,99.19,97.31,98.56,2937600,98.12431403167818,90.08200000000001
2000-12-19,98.63,99.94,98.56,99.19,2251700,98.3611331357497,90.23545
2000-12-20,99.44,101.7,99.38,100.6,4800900,98.8586591055831,90.38345000000001
2000-12-21,100.3,101.9,100.0,101.0,5449800,99.33451263767574,90.525
2000-12-22,101.4,102.0,100.6,101.5,3490200,99.81573205152557,90.67810000000001
2000-12-26,101.5,102.88,101.38,102.38,1754000,100.38556937340877,90.84
2000-12-27,101.5,104.8,101.5,103.0,2974600,100.96655395709571,90.99125
2000-12-28,103.3,105.5,103.3,104.8,3321100,101.81843085551888,91.13055
2000-12-29,104.8,105.9,104.5,105.1,2481100,102.54766844318135,91.257
2001-01-02,104.0,104.7,101.6,102.0,4427600,102.42596434469661,91.3692
2001-01-03,103.0,103.7,97.88,98.75,5663000,101.60908337920847,91.4664
2001-01-04,98.06,98.13,95.13,96.63,6470600,100.50262040605104,91.5483
2001-01-05,97.44,99.88,95.75,97.88,4638600,99.91981587137303,91.62644999999999
2001-01-08,97.19,99.5,97.0,97.75,2760100,99.43763456662347,91.71519999999998
2001-01-09,98.0,99.0,97.44,98.44,3188300,99.2159379962627,91.84615
2001-01-10,98.94,99.0,95.38,95.88,3762100,98.47461844153766,91.97679999999998
2001-01-11,96.0,96.44,92.19,92.44,4205200,97.13359212119596,92.079
2001-01-12,93.0,94.81,93.0,94.56,3386400,96.5616827609302,92.1965
2001-01-16,94.19,94.94,93.56,94.19,3050300,96.03464214739016,92.31370000000001
2001-01-17,94.06,94.13,91.25,91.69,3913600,95.06916611463679,92.4209
2001-01-18,92.63,94.94,92.56,94.0,4670000,94.83157364471751,92.52965
2001-01-19,92.88,94.69,92.75,94.13,3942800,94.67566839033584,92.6178
2001-01-22,95.25,95.94,93.81,94.31,3688500,94.59440874803899,92.70185000000001
